player,date,time,result
Lordillidan,3/26/2019,1 min,Lost
Lordillidan,3/26/2019,1 min,Won
Lordillidan,3/26/2019,1 min,Draw
Lordillidan,3/26/2019,1 min,Won
Lordillidan,3/26/2019,1 min,Won
Lordillidan,3/26/2019,1 min,Won
Lordillidan,3/26/2019,1 min,Lost
Lordillidan,3/26/2019,1 min,Won
Lordillidan,3/26/2019,1 min,Won
Lordillidan,3/26/2019,1 min,Lost
Lordillidan,3/26/2019,1 min,Lost
Lordillidan,3/26/2019,1 min,Lost
Lordillidan,3/26/2019,1 min,Won
Lordillidan,3/26/2019,1 min,Won
Lordillidan,3/26/2019,1 min,Lost
Lordillidan,3/26/2019,1 min,Won
Lordillidan,3/26/2019,1 min,Draw
Lordillidan,3/26/2019,1 min,Won
Lordillidan,3/26/2019,1 min,Draw
Lordillidan,3/20/2019,1 min,Lost
Lordillidan,3/20/2019,1 min,Lost
Lordillidan,3/20/2019,1 min,Won
Lordillidan,3/20/2019,1 min,Won
Lordillidan,3/20/2019,1 min,Won
Lordillidan,3/20/2019,1 min,Lost
Lordillidan,3/20/2019,1 min,Lost
Lordillidan,3/20/2019,1 min,Won
Lordillidan,3/20/2019,1 min,Won
Lordillidan,3/18/2019,1 min,Won
Lordillidan,3/18/2019,1 min,Won
Lordillidan,2/9/2019,1 min,Draw
Lordillidan,2/9/2019,1 min,Lost
Lordillidan,2/9/2019,1 min,Won
Lordillidan,2/9/2019,1 min,Lost
Lordillidan,2/9/2019,1 min,Won
Lordillidan,2/9/2019,1 min,Draw
Lordillidan,2/9/2019,1 min,Won
Lordillidan,2/9/2019,1 min,Lost
Lordillidan,2/9/2019,1 min,Won
Lordillidan,2/9/2019,1 min,Won
Lordillidan,2/9/2019,1 min,Won
Lordillidan,2/9/2019,1 min,Lost
Lordillidan,2/9/2019,1 min,Lost
Lordillidan,2/9/2019,1 min,Won
Lordillidan,2/9/2019,1 min,Lost
Lordillidan,2/9/2019,1 min,Won
Lordillidan,2/9/2019,1 min,Won
Lordillidan,2/9/2019,1 min,Won
Lordillidan,2/9/2019,1 min,Lost
Lordillidan,2/9/2019,1 min,Won
