player,date,time,result
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Lost
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Lost
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Lost
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Lost
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1 min,Won
xxysoul6,3/24/2018,1|1,Won
xxysoul6,3/24/2018,1|1,Lost
xxysoul6,3/24/2018,1|1,Lost
xxysoul6,3/22/2018,1 min,Lost
xxysoul6,3/22/2018,1 min,Won
xxysoul6,3/22/2018,1 min,Lost
xxysoul6,3/22/2018,1 min,Won
xxysoul6,3/22/2018,1 min,Won
xxysoul6,3/22/2018,1 min,Won
xxysoul6,3/22/2018,1 min,Lost
xxysoul6,3/22/2018,1 min,Lost
xxysoul6,3/22/2018,1 min,Lost
xxysoul6,3/21/2018,1 min,Lost
xxysoul6,3/21/2018,1 min,Won
xxysoul6,3/21/2018,1 min,Won
xxysoul6,3/21/2018,1 min,Won
xxysoul6,3/19/2018,1 min,Won
xxysoul6,3/19/2018,1 min,Won
xxysoul6,3/19/2018,1 min,Won
xxysoul6,3/19/2018,1 min,Lost
xxysoul6,3/19/2018,1 min,Lost
xxysoul6,3/19/2018,1 min,Won
xxysoul6,3/19/2018,1 min,Lost
xxysoul6,3/19/2018,1 min,Won
xxysoul6,3/19/2018,1 min,Lost
xxysoul6,3/19/2018,1 min,Won
xxysoul6,3/19/2018,1 min,Lost
xxysoul6,3/19/2018,1 min,Lost
xxysoul6,3/19/2018,1 min,Won
xxysoul6,3/19/2018,1 min,Lost
xxysoul6,3/19/2018,1 min,Won
xxysoul6,3/19/2018,1 min,Lost
xxysoul6,3/19/2018,1 min,Lost
xxysoul6,3/19/2018,1 min,Lost
xxysoul6,3/19/2018,1 min,Lost
